user_id	bucket	timestamp	block reason
25345150	treatment	20150531205408	abuse
25352119	control	20150531210010	hard username
25350848	treatment	20150531220743	hard username
25352916	treatment	20150531220833	hard username
25352886	treatment	20150531223311	abuse
25352182	treatment	20150531224727	abuse
25352581	control	20150531224936	abuse
25351522	treatment	20150531225413	spam
25353314	treatment	20150531231953	abuse
25353021	control	20150531232514	hard username
25352763	control	20150601001704	spam
25351892	treatment	20150601001830	abuse
25335263	control	20150601002155	abuse
25353844	treatment	20150601012347	abuse
25353894	treatment	20150601014837	hard username
25353725	control	20150601015706	soft username
25354553	control	20150601025716	abuse
25353055	control	20150601034734	abuse
25354948	treatment	20150601042341	hard username
25355105	control	20150601050715	hard username
25355355	control	20150601052240	hard username
25355246	treatment	20150601055613	hard username
25354717	control	20150601055753	spam
25352596	treatment	20150601060817	spam
25352694	treatment	20150601060852	spam
25354423	control	20150601060951	spam
25353026	treatment	20150601061146	spam
25355577	control	20150601062156	hard username
25355632	treatment	20150601063218	spam
25328685	control	20150601073045	sockpuppetry
25355656	treatment	20150601080758	hard username
25354149	control	20150601080839	hard username
25355982	treatment	20150601081421	hard username
25356109	control	20150601084037	soft username
25356470	treatment	20150601084102	abuse
25355929	control	20150601084128	hard username
25355770	treatment	20150601084459	abuse
25355610	treatment	20150601084639	hard username
25356492	treatment	20150601084704	abuse
25355296	treatment	20150601084739	spam
25355166	treatment	20150601084852	hard username
25354407	control	20150601085010	hard username
25356576	treatment	20150601085212	abuse
25356113	control	20150601085400	hard username
25356394	treatment	20150601094926	abuse
25356699	control	20150601095937	hard username
25356209	control	20150601095944	hard username
25356272	treatment	20150601100916	hard username
25357140	treatment	20150601102346	hard username
25356633	control	20150601104537	hard username
25356067	control	20150601104647	spam
25357280	treatment	20150601105015	other
25357289	control	20150601105124	hard username
25355707	control	20150601105151	hard username
25356093	control	20150601105358	spam
25356088	treatment	20150601105539	hard username
25357506	treatment	20150601110216	hard username
25356322	treatment	20150601110635	spam
25356229	control	20150601110737	spam
25357386	treatment	20150601111338	hard username
25357057	control	20150601111454	other
25357640	treatment	20150601111533	hard username
25357173	control	20150601113353	abuse
25357508	treatment	20150601113708	hard username
25357849	control	20150601114017	abuse
25353541	control	20150601114502	hard username
25353289	control	20150601114506	abuse
25357783	control	20150601114638	hard username
25357361	control	20150601114718	hard username
25357931	control	20150601115122	abuse
25357792	treatment	20150601115300	spam
25353447	control	20150601115958	hard username
25358160	treatment	20150601122008	hard username
25358107	control	20150601122208	sockpuppetry
25358174	treatment	20150601123056	hard username
25357874	treatment	20150601123227	abuse
25357177	control	20150601123438	hard username
25355772	treatment	20150601123618	hard username
25354123	control	20150601123725	hard username
25358386	treatment	20150601125020	abuse
25358042	treatment	20150601125658	abuse
25353880	treatment	20150601125909	hard username
25357531	control	20150601130550	hard username
25357160	treatment	20150601130641	hard username
25357910	treatment	20150601130650	hard username
25358519	control	20150601131001	hard username
25358587	control	20150601132638	hard username
25358641	control	20150601133052	abuse
25359104	treatment	20150601144337	abuse
25345601	control	20150601144617	abuse
25358998	treatment	20150601150016	abuse
25358683	control	20150601151941	abuse
25336624	treatment	20150601161851	hard username
25359491	control	20150601161917	spam
25358129	control	20150601162910	abuse
25359570	treatment	20150601163958	spam
25351370	treatment	20150601164106	abuse
25359105	control	20150601164432	abuse
25328815	control	20150601164451	sockpuppetry
25360279	control	20150601170856	abuse
25359539	control	20150601172055	abuse
25360345	control	20150601172542	abuse
25360339	control	20150601172702	abuse
25349191	control	20150601175641	soft username
25357487	control	20150601184652	abuse
25360080	treatment	20150601190346	policy violation
25361761	control	20150601194131	abuse
25360210	treatment	20150601201010	soft username
25361555	control	20150601201244	spam
25360150	treatment	20150601201542	abuse
25362518	treatment	20150601210405	hard username
25358391	control	20150601210645	abuse
25362496	treatment	20150601210659	abuse
25361773	control	20150601211145	abuse
25362561	control	20150601212107	abuse
25362736	treatment	20150601212803	hard username
25362584	treatment	20150601213049	abuse
