rev_id	namespace
663472673	3
663472689	3
663472722	3
663472725	0
663472757	3
663472759	0
663472786	3
663472807	3
663472832	3
663472862	0
663472863	2
663472880	3
663472912	3
663472975	2
663472995	4
663473012	3
663473056	3
663473090	3
663473125	3
663473129	0
663473161	3
663473219	3
663473296	3
663473337	0
663473355	3
663473432	0
663473437	3
663473462	0
663473479	0
663473482	0
663473497	3
663473522	0
663473535	3
663473589	0
663473636	2
663473672	2
663473712	3
663473718	0
663473734	3
663473736	2
663473763	3
663473762	2
663473808	3
663473824	3
663473832	0
663473860	3
663473961	3
663474022	3
663474026	0
663474051	3
663474067	3
663474088	3
663474101	3
663474107	0
663474108	3
663474126	3
663474135	3
663474146	3
663474157	3
663474178	3
663474195	3
663474211	3
663474214	14
663474227	3
663474236	3
663474237	0
663474249	3
663474276	3
663474285	2
663474288	3
663474303	1
663474317	3
663474322	2
663474333	3
663474344	3
663474370	3
663474381	3
663474402	3
663474418	3
663474431	3
663474448	3
663474457	3
663474468	3
663474471	0
663474481	3
663474501	3
663474519	3
663474553	3
663474585	3
663474586	0
663474596	0
663474634	2
663474637	3
663474679	2
663474688	3
663474712	3
663474723	3
663474742	3
663474756	3
663474757	2
663474769	3
663474781	3
663474792	3
663474804	3
663474807	2
663474822	3
663474829	3
663474835	0
663474841	3
663474852	2
663474877	0
663474881	3
663474896	3
663474905	2
663474915	3
663474933	3
